Code,Detailed codes,Cause
C033,210-229,Benign neoplasms
C034,240-279,"Endocrine, nutritional and metabolic diseases"
C035,250,Diabetes mellitus
C036,280-289,Diseases of blood and blood-forming organs
C037,280-285,Anaemias
C038,290-319,Mental disorders
C039,320-359,Diseases of the nervous system
C040,320-322,Meningitis
C041,390-459,Diseases of the circulatory system
C042,390-392,Acute rheumatic fever
C043,"393-398, 402, 404, 410-416, 420-429",Heart diseases
C044,393-398,Chronic rheumatic heart disease
C045,"402, 404",Hypertensive heart disease
C046,410,Acute myocardial infarction
C047,411-414,Other ischaemic heart disease
C048,"415, 416",Pulmonary heart disease
C049,420-429,Other forms of heart disease
C050,"401, 403",Other hypertensive disease
C051,430-438,Cerebrovascular disease
C052,460-519,Disease of the respiratory system
C053,480-486,Pneumonia
C054,490-493,"Bronchitis, chronic and unspecified emphysema and asthma"
C055,500-505,Pneumoconioses
C056,520-579,Disease of digestive system
C057,531-533,Ulcer of stomach and duodenum
C058,540-543,Appendicitis
C059,560,Intestinal obstruction
C060,571,Chronic liver disease and cirrhosis
C061,580-629,Disease of genitourinary system
C062,580-589,"Nephritis, nephrotic syndrome and nephrosis"
C063,600,Hyperplasia of prostate
C064,630-676,"Complications of pregnancy, childbirth and puerperium"
C065,"630-646, 651-676",Direct obstetric causes
C066,630-638,Abortion
C067,642.4-643,Toxaemia of pregnancy
C068,"664, 665, 674.1-674.3",Obstetrical trauma
C069,"670, 672, 675",Infections of the puerperium
C070,666,Postpartum haemorrhage
C071,710-739,Diseases of the musculoskeletal system and connective tissue
C072,740-759,Congenital anomalies
C073,"745, 746",Congenital anomalies of heart
C074,760-779,Certain conditions originating in the perinatal period
C075,"764, 765","Slow fetal growth, fetal malnutrition and immaturity"
C076,767-770,"Birth trauma, hypoxia, birth asphyxia and other respiratory conditions"
C077,771.3,Tetanus neonatorum
C078,773,Haemolytic disease of foetus or newborn
C079,778.1,Sclerema neonatorum
C080,"360-389, 680-709, 780-796",Other specified diseases and symptoms
C081,797-799,Ill-defined and unknown causes
C089,E800-E999,External causes of injury and poisoning
C090,E810-E819,Motor vehicle trafic accidents
C091,E800-E807,Other transport accidents
C092,E850-E869,Accidental poisoning
C093,E880-E888,Accidental falls
C094,E890-E899,Accidents caused by fire and flames
C095,E900-E909,Accidents due to natural and environmental factors
C096,E910,Accidental drowning and submersion
C097,E913,Accidental mechanical suffocation
C098,E916,Struck accidentally by falling object
C099,"E919, E920",Accidents caused by machinery and by cutting and piercing instruments
C100,E925,Accidents caused by electric current
C101,,"Other accidents, adverse and late effects"
C102,E950-E959,Suicide and self-inflicted injury
C103,E960-E969,Homicide and injury purposely inflicted by other persons
CH01,A00-B99,CERTAIN INFECTIOUS  AND PARASITIC DISEASES 
CH02,C00-D48,NEOPLASMS
CH03,D50-D89,DISEASES OF THE BLOOD AND BLOOD-FORMING ORGANS AND CERTAIN DISORDERS INVOLVING THE IMMUNE MECHANISM
CH04,E00-E90,"ENDOCRINE,  NUTRITIONAL AND METABOLIC DISEASES"
CH05,F00-F99,MENTAL AND BEHAVIOURAL DISORDERS
CH06,G00-G99,DISEASES OF THE NERVOUS SYSTEM
CH07,H00-H59,DISEASES OF THE EYE AND ADNEXA
CH08,H60-H95,DISEASES OF THE EAR AND MASTOID PROCESS
CH09,I00-I99,DISEASES OF THE CIRCULATORY SYSTEM
CH10,J00-J99,DISEASES OF THE RESPIRATORY SYSTEM
CH11,K00-K93,DISEASES OF THE DIGESTIVE SYSTEM
CH12,L00-L99,DISEASES OF THE SKIN AND SUBCUTANEOUS TISSUE
CH13,M00-M99,DISEASES OF THE MUSCULOSKELETAL SYSTEM/CONNECTIVE TISSUE
CH14,N00-N99,DISEASES OF THE GENITOURINARY SYSTEM
CH15,O00-O99,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM"
CH16,P00-P96,CERTAIN CONDITIONS ORIGINATING IN THE PERINATL PERIOD
CH17,E800-E999,"CHAPTER XVII – Accidents, Poisoning, and Violence (Only applied for some countries-years when the data do not contain a breakdown of all external causes (A138-A150)."
CH18,R00-R99,"SYMPTOMS, SIGNS AND ABNORMAL CLINICAL AND LABORATORY FINDINGS, NOT ELSEWHERE CLASSIFIED"
CH20,V01-Y89,EXTERNAL CAUSES OF INJURY AND POISONING
S47,"E800-E802, E840-E962","All other accidental causes  (only applied for Trinidad and Tobago, 1967 and 1968 where the data do not contain a breakdown of all other accidental causes (A139-A147)."
UE02,"A15-A19, B90",Tuberculosis
UE03,A39,Meningococcal infection
UE04,B20-B24,AIDS (HIV disease) 
UE05,B15-B19,Viral hepatitis
UE07,C00-C97,Malignant neoplasms
UE08,C00-C14,"of which malignant neoplasm of lip, oral cavity, pharynx"
UE09,C15,of which malignant neoplasm of oesophagus
UE10,C16,of which malignant neoplasm of stomach
UE11,C18,of which malignant neoplasm of colon
UE12,C19-C21,of which malignant neoplasm of rectum and anus
UE13,C22,of which malignant neoplasm of liver and the intrahepatic bile ducts
UE14,C25,of which malignant neoplasm of pancreas
UE15,C32-C34,of which malignant neoplasm of larynx and trachea/bronchus/lung
UE16,C43,of which malignant neoplasm of skin
UE17,C50,of which malignant neoplasm of breast
UE18,C53,of which malignant neoplasm of cervix uteri
UE19,C54-C55,of which malignant neoplasm of other parts of uterus
UE20,C56,of which malignant neoplasm of ovary
UE21,C61,of which malignant neoplasm of prostate
UE22,C64,of which malignant neoplasm of kidney
UE23,C67,of which malignant neoplasm of bladder
UE24,C81-C96,of which malignant neoplasm of lymph/haematopoietic tissue
UE27,E10-E14,Diabetes mellitus
UE29,F10,Mental and behavioural disorders due to the use of alcohol
UE30,"F11-F16, F18-F19","Drug dependence, toxicomania"
UE32,G00-G03,Meningitis (other than A39)
UE34,I20-I25,Ischaemic heart diseases
UE35,"I30-I33, I39-I52",Other heart diseases
UE36,I60-I69,Cerebrovascular diseases
UE38,J10-J11,Influenza
UE39,J12-J18,Pneumonia
UE40,J40-J47,Chronic lower respiratory diseases
UE41,J45-J46,of which asthma
UE43,K25-K28,"Ulcer of the stomach, duodenum and jejunum"
UE44,"K70, K73-K74",Chronic liver disease
UE47,"M05-M06, M15-M19",Rheumatoid arthritis and osteoarthrosis
UE49,N00-N29,Diseases of the kidney and ureter
UE53,Q00-Q07,Congenital malformations of the nervous system
UE54,Q20-Q28,Congenital malformations of the circulatory system
UE56,R95,Sudden infant death syndrome
UE57,R96-R99,Uknown and unspecified causes
UE59,V01-X59,Accidents
UE60,V01-V99,of which transport accidents
UE61,W00-W19,of which accidental falls
UE62,X40-X49,of which accidental poisoning
UE63,X60-X84,Suicide and intentional self-harm
UE64,X85-Y09,"Homicide, assault"
UE65,Y10-Y34,Events of undetermined intent
